accepted_name,lithdescript,lithology1,environment,geology_comments
Fordilla troyensis,"condensed, red oncolitic, fossil wacke-to packstones with intercalated red shale",wackestone,peritidal,Deposition controled by epeirogenic extension.  The Foster Formation marks a decrease in the rate of epeirogenic subsidence and/or rate of sealevel fall.
Fordilla germanica,,"""limestone""",peritidal,Formation is part of the Gorltiz Synclinorium
Pojetaia runnegari,"500 meter thick middle subformation composed of dark gray limetsone or, more rarely, of dolostone with interbeds of clayish shale with phosphorites.","""limestone""",carbonate indet.,
Pojetaia runnegari,"500 meter thick middle subformation composed of dark gray limetsone or, more rarely, of dolostone with interbeds of clayish shale with phosphorites.","""limestone""",carbonate indet.,
Pojetaia runnegari,"500 meter thick middle subformation composed of dark gray limetsone or, more rarely, of dolostone with interbeds of clayish shale with phosphorites.","""limestone""",carbonate indet.,
Pojetaia runnegari,"500 meter thick middle subformation composed of dark gray limetsone or, more rarely, of dolostone with interbeds of clayish shale with phosphorites.","""limestone""",carbonate indet.,
Pojetaia runnegari,"500 meter thick middle subformation composed of dark gray limetsone or, more rarely, of dolostone with interbeds of clayish shale with phosphorites.","""limestone""",carbonate indet.,
Pojetaia runnegari,"500 meter thick middle subformation composed of dark gray limetsone or, more rarely, of dolostone with interbeds of clayish shale with phosphorites.","""limestone""",carbonate indet.,
Pojetaia runnegari,"500 meter thick middle subformation composed of dark gray limetsone or, more rarely, of dolostone with interbeds of clayish shale with phosphorites.","""limestone""",carbonate indet.,
Pojetaia runnegari,"500 meter thick middle subformation composed of dark gray limetsone or, more rarely, of dolostone with interbeds of clayish shale with phosphorites.","""limestone""",carbonate indet.,
Pojetaia runnegari,"500 meter thick middle subformation composed of dark gray limetsone or, more rarely, of dolostone with interbeds of clayish shale with phosphorites.","""limestone""",carbonate indet.,
Pojetaia runnegari,"500 meter thick middle subformation composed of dark gray limetsone or, more rarely, of dolostone with interbeds of clayish shale with phosphorites.","""limestone""",carbonate indet.,
Pojetaia runnegari,"500 meter thick middle subformation composed of dark gray limetsone or, more rarely, of dolostone with interbeds of clayish shale with phosphorites.","""limestone""",carbonate indet.,
Pojetaia runnegari,"500 meter thick middle subformation composed of dark gray limetsone or, more rarely, of dolostone with interbeds of clayish shale with phosphorites.","""limestone""",carbonate indet.,
